代號,名稱,股數,權重
2330,台積電,9800000,15.52
2454,聯發科,2210000,6.66
3017,奇鋐,2850000,6.02
2383,台光電,1600000,5.41
3037,欣興,8460000,5.41
2303,聯電,55000000,5.2
6223,旺矽,1100000,4.1
3653,健策,1115000,3.89
2308,台達電,2750000,3.13
6669,緯穎,1987956,2.86
2327,國巨*,8000000,2.85
2345,智邦,2307000,2.82
3443,創意,620000,2.55
3189,景碩,3850000,2.1
8046,南電,2770000,2.04
1303,南亞,13500000,2.01
6274,台燿,1900000,1.79
6488,環球晶,2800000,1.75
3665,貿聯-KY,1293000,1.72
3008,大立光,380000,1.57
5274,信驊,120500,1.46
2360,致茂,1000000,1.39
8996,高力,1580000,1.37
6805,富世達,760000,1.03
6239,力成,5360000,0.98
2317,鴻海,3200000,0.53
7769,鴻勁,130000,0.53
3211,順達,2000000,0.49
2449,京元電子,2600000,0.45
3450,聯鈞,1102000,0.4
3711,日月光投控,1000000,0.4
6442,光聖,350000,0.37
2059,川湖,45000,0.36
3583,辛耘,800000,0.36
2481,強茂,3000000,0.34
2882,國泰金,4000000,0.3
2408,南亞科,760000,0.25
2404,漢唐,250000,0.17
3533,嘉澤,160000,0.16
2455,全新,386000,0.13
3264,欣銓,700000,0.1
1560,中砂,191000,0.09
1717,長興,1500000,0.07
2301,光寶科,300000,0.06
6285,啟碁,350000,0.05
8358,金居,100000,0.03
2337,旺宏,1000,0.0
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
2049,上銀,1000,0.0
2344,華邦電,1000,0.0
