代號,名稱,股數,權重
2330,台積電,12000000,16.45
2383,台光電,1690000,6.04
3037,欣興,8460000,5.58
2303,聯電,79000000,5.42
3017,奇鋐,3000000,5.25
2454,聯發科,2110000,4.72
2327,國巨*,9785000,3.25
6223,旺矽,1060000,3.22
2308,台達電,3040000,3.19
3653,健策,1020000,3.03
2345,智邦,2307000,2.96
2344,華邦電,28000000,2.85
3711,日月光投控,8000000,2.76
6669,緯穎,610000,2.25
3189,景碩,4250000,2.12
5274,信驊,214500,2.11
3008,大立光,626000,1.91
8046,南電,2640000,1.89
6488,環球晶,2800000,1.71
3443,創意,510000,1.63
3665,貿聯-KY,1200000,1.55
6274,台燿,1680000,1.5
2360,致茂,1000000,1.33
8996,高力,1600000,1.08
1303,南亞,9000000,1.04
6239,力成,5360000,0.82
6805,富世達,700000,0.79
3533,嘉澤,610000,0.57
3450,聯鈞,1600000,0.53
7769,鴻勁,130000,0.49
2317,鴻海,3200000,0.46
3211,順達,2000000,0.44
1560,中砂,1050000,0.43
2337,旺宏,6000000,0.42
3583,辛耘,800000,0.32
6442,光聖,225000,0.2
8358,金居,800000,0.19
2059,川湖,20000,0.17
4966,譜瑞-KY,500000,0.16
2404,漢唐,250000,0.16
4958,臻鼎-KY,500000,0.14
2481,強茂,1500000,0.12
1717,長興,2500000,0.1
3264,欣銓,700000,0.08
6285,啟碁,350000,0.05
2455,全新,200000,0.05
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
2049,上銀,1000,0.0
5347,世界,1000,0.0
