代號,名稱,股數,權重
2330,台灣積體,4000000,13.468
2383,台光電子,1300000,8.157
2408,南亞科技,12400000,6.709
2327,國巨股份,7500000,5.82
2454,聯發科技,1080000,5.207
2059,川湖科技,420000,4.593
3037,欣興電子,4250000,4.475
6223,旺矽科技,600000,4.399
2345,智邦科技,1500000,4.385
8046,南亞電路,3000000,4.036
6669,緯穎科技,450000,3.537
6274,台燿科技,2150000,3.356
3711,日月光投,4200000,3.208
7769,鴻勁精密,360000,2.851
3017,奇鋐科技,860000,2.757
3189,景碩科技,3000000,2.645
8299,群聯電子,1100000,2.551
3026,禾伸堂企,2700000,1.961
3665,貿聯-KY,590000,1.887
5274,信驊科技,80500,1.591
2308,台達電子,660000,1.51
2404,漢唐集成,799000,1.241
6515,穎崴科技,140000,1.16
3653,健策精密,1000,0.005
2382,廣達電腦,9000,0.004
2317,鴻海精密,9000,0.003
2449,京元電子,9450,0.003
2360,致茂電子,1000,0.003
2603,長榮海運,9000,0.003
2313,華通電腦,9253,0.002
3231,緯創資通,9000,0.002
5347,世界先進,9000,0.002
2881,富邦金融,9000,0.002
2882,國泰金融,9000,0.001
2357,華碩電腦,1000,0.001
2379,瑞昱半導,1000,0.001
2885,元大金融,9000,0.001
2891,中國信託,9000,0.001
2886,兆豐金融,9000,0.001
2890,永豐金融,9000,0.001
2884,玉山金融,9000,0.001
2880,華南金融,9000,0.001
3044,健鼎科技,1000,0.001
2883,凱基金融,9000,0.0
2912,統一超商,1000,0.0
3036,文曄科技,1000,0.0
2412,中華電信,1000,0.0
1216,統一企業,1000,0.0
3045,台灣大哥,1000,0.0
