代號,名稱,股數,權重
2330,台積電,9800000,15.45
2454,聯發科,2210000,6.63
3017,奇鋐,2850000,6.28
2383,台光電,1600000,5.62
3037,欣興,8460000,5.41
2303,聯電,55000000,5.06
3653,健策,1115000,4.21
6223,旺矽,1100000,4.04
6669,緯穎,1987956,3.0
2308,台達電,2750000,2.91
2327,國巨*,8000000,2.85
2345,智邦,2307000,2.85
3008,大立光,600000,2.61
3443,創意,580000,2.32
1303,南亞,13500000,2.07
8046,南電,2640000,1.87
3189,景碩,3400000,1.83
6274,台燿,1900000,1.7
6488,環球晶,2800000,1.65
3665,貿聯-KY,1293000,1.59
5274,信驊,120500,1.41
2360,致茂,1000000,1.41
8996,高力,1580000,1.37
6805,富世達,760000,1.07
6239,力成,5360000,0.96
3711,日月光投控,2000000,0.81
7769,鴻勁,130000,0.54
2317,鴻海,3200000,0.52
3211,順達,2000000,0.47
2449,京元電子,2600000,0.45
6442,光聖,350000,0.38
3450,聯鈞,1100000,0.37
3583,辛耘,800000,0.37
2882,國泰金,4000000,0.29
2481,強茂,3000000,0.29
2059,川湖,35000,0.28
3533,嘉澤,200000,0.21
2404,漢唐,250000,0.16
2455,全新,386000,0.13
3264,欣銓,700000,0.11
2344,華邦電,1000000,0.11
1560,中砂,191000,0.1
1717,長興,1500000,0.07
6285,啟碁,350000,0.05
2301,光寶科,300000,0.05
8358,金居,100000,0.03
2337,旺宏,1000,0.0
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
2049,上銀,1000,0.0
