代號,名稱,股數,權重
2330,台積電,12000000,15.99
3017,奇鋐,3515000,6.33
2383,台光電,1690000,5.8
2303,聯電,79000000,5.32
2454,聯發科,2110000,4.94
3037,欣興,8460000,4.8
6223,旺矽,1060000,3.8
2327,國巨*,9785000,3.39
2308,台達電,3040000,3.19
2345,智邦,2307000,2.95
2344,華邦電,28000000,2.86
3711,日月光投控,8000000,2.74
6669,緯穎,610000,2.18
3653,健策,800000,2.16
5274,信驊,214500,2.11
3189,景碩,4250000,2.04
8046,南電,2190000,1.59
6274,台燿,1680000,1.57
3443,創意,510000,1.55
6488,環球晶,2646000,1.49
3665,貿聯-KY,1200000,1.47
3008,大立光,570000,1.46
2360,致茂,1000000,1.28
8996,高力,1600000,1.14
1303,南亞,7421000,0.86
6239,力成,5360000,0.83
3533,嘉澤,800000,0.77
6805,富世達,700000,0.7
1560,中砂,1500000,0.61
2337,旺宏,7498000,0.57
7769,鴻勁,130000,0.48
2317,鴻海,3200000,0.46
3450,聯鈞,1600000,0.45
3211,順達,2000000,0.44
3583,辛耘,800000,0.32
8358,金居,900000,0.21
6442,光聖,225000,0.2
4966,譜瑞-KY,500000,0.16
2404,漢唐,250000,0.16
4958,臻鼎-KY,500000,0.14
2481,強茂,1500000,0.12
1717,長興,2500000,0.1
3264,欣銓,700000,0.09
2455,全新,336000,0.07
6285,啟碁,350000,0.05
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
2049,上銀,1000,0.0
6415,矽力*-KY,1000,0.0
5347,世界,1000,0.0
