代號,名稱,股數,權重
2330,台灣積體,3400000,11.635
2327,國巨股份,6150000,9.955
2383,台光電子,850000,6.505
2408,南亞科技,9000000,5.782
3037,欣興電子,3600000,5.469
2454,聯發科技,850000,5.123
8299,群聯電子,1500000,5.08
6274,台燿科技,1800000,4.294
6223,旺矽科技,430000,3.718
2345,智邦科技,1000000,3.543
8046,南亞電路,2100000,3.533
3189,景碩科技,2650000,3.353
2303,聯華電子,14000000,3.27
2059,川湖科技,310000,3.24
5274,信驊科技,120000,2.811
7769,鴻勁精密,300000,2.756
3711,日月光投,2700000,2.607
2492,華新科技,3200000,2.567
2344,華邦電子,8000000,2.357
6515,穎崴科技,200000,2.296
8996,高力熱處,620000,1.365
4958,臻鼎-KY,1500000,1.342
8210,勤誠興業,690000,1.259
3665,貿聯-KY,450000,1.224
2404,漢唐集成,650000,1.218
6669,緯穎科技,185000,1.218
3017,奇鋐科技,9000,0.032
2308,台達電子,9000,0.025
2368,金像電子,9000,0.015
3653,健策精密,1000,0.005
2382,廣達電腦,9000,0.005
2449,京元電子,9000,0.004
6510,中華精測,1000,0.004
2317,鴻海精密,9000,0.003
2360,致茂電子,1000,0.003
2313,華通電腦,9000,0.003
5347,世界先進,9000,0.003
2603,長榮海運,9000,0.002
3042,台灣晶技,9000,0.002
3231,緯創資通,9000,0.002
2337,旺宏電子,9000,0.002
2881,富邦金融,9000,0.002
3324,雙鴻科技,1000,0.001
2882,國泰金融,9000,0.001
1519,華城電機,1000,0.001
2891,中國信託,9000,0.001
2885,元大金融,9000,0.001
3044,健鼎科技,1000,0.001
3036,文曄科技,1000,0.0
2412,中華電信,1000,0.0
