代號,名稱,股數,權重
2330,台積電,12000000,17.19
2383,台光電,1690000,5.53
3037,欣興,8460000,5.49
3017,奇鋐,3000000,5.17
2454,聯發科,2110000,4.79
2303,聯電,60000000,4.47
6223,旺矽,1100000,3.69
3653,健策,1080000,3.36
2327,國巨*,9785000,3.25
2308,台達電,3040000,3.18
2345,智邦,2307000,2.88
3711,日月光投控,8000000,2.86
6669,緯穎,610000,2.32
3189,景碩,4250000,2.04
3008,大立光,626000,2.03
3443,創意,610000,1.97
8046,南電,2640000,1.81
6488,環球晶,2800000,1.71
5274,信驊,179500,1.64
2344,華邦電,15000000,1.6
6274,台燿,1800000,1.58
3665,貿聯-KY,1200000,1.48
2360,致茂,1000000,1.25
8996,高力,1600000,1.1
1303,南亞,9000000,0.98
6239,力成,5360000,0.87
6805,富世達,700000,0.72
3450,聯鈞,1800000,0.55
3533,嘉澤,525000,0.51
7769,鴻勁,130000,0.49
2317,鴻海,3200000,0.47
3211,順達,2000000,0.39
2337,旺宏,4500000,0.34
3583,辛耘,800000,0.33
2059,川湖,35000,0.3
6442,光聖,225000,0.2
8358,金居,800000,0.2
4966,譜瑞-KY,500000,0.17
1560,中砂,393000,0.16
2404,漢唐,250000,0.16
4958,臻鼎-KY,500000,0.13
1717,長興,2500000,0.11
3264,欣銓,700000,0.09
6285,啟碁,350000,0.05
2455,全新,200000,0.05
8299,群聯,1000,0.0
6196,帆宣,1000,0.0
2049,上銀,1000,0.0
5347,世界,1000,0.0
2481,強茂,1000,0.0
