代號,名稱,股數,權重
2330,台灣積體,4500000,12.721
2383,台光電子,1400000,9.049
2059,川湖科技,510000,8.748
2408,南亞科技,14000000,8.349
3037,欣興電子,5000000,6.398
2327,國巨股份,7700000,5.05
6669,緯穎科技,600000,4.499
2454,聯發科技,1000000,4.482
8046,南亞電路,3250000,4.391
6223,旺矽科技,660000,4.372
2345,智邦科技,1750000,4.312
3017,奇鋐科技,1250000,4.248
6274,台燿科技,2400000,4.157
3189,景碩科技,4100000,3.875
7769,鴻勁精密,380000,2.829
3081,聯亞光電,700000,2.304
8299,群聯電子,880000,2.236
5274,信驊科技,120500,2.168
3653,健策精密,340000,2.086
3026,禾伸堂企,2700000,2.067
3008,大立光電,1000,0.006
3711,日月光投,9000,0.006
2382,廣達電腦,9000,0.003
2317,鴻海精密,9000,0.003
2603,長榮海運,9000,0.003
2360,致茂電子,1000,0.002
3665,貿聯-KY,1000,0.002
2308,台達電子,1000,0.002
3231,緯創資通,9000,0.002
5347,世界先進,9000,0.002
2881,富邦金融,9000,0.001
2404,漢唐集成,1000,0.001
2357,華碩電腦,1000,0.001
2882,國泰金融,9000,0.001
2379,瑞昱半導,1000,0.001
2885,元大金融,9360,0.001
2891,中國信託,9000,0.001
3044,健鼎科技,1000,0.001
2886,兆豐金融,9000,0.001
2449,京元電子,1450,0.0
2884,玉山金融,9000,0.0
2880,華南金融,9090,0.0
2890,永豐金融,9000,0.0
2883,凱基金融,9000,0.0
2887,台新新光,9000,0.0
2313,華通電腦,1253,0.0
2912,統一超商,1000,0.0
3036,文曄科技,1000,0.0
2412,中華電信,1000,0.0
1216,統一企業,1000,0.0
