代號,名稱,股數,權重
2330,台灣積體,3800000,11.691
2383,台光電子,1380000,9.397
2059,川湖科技,500000,8.657
2408,南亞科技,13800000,8.482
3037,欣興電子,5000000,5.941
6669,緯穎科技,1730020,5.512
3017,奇鋐科技,1250000,5.31
2454,聯發科技,900000,5.028
2327,國巨股份,7500000,4.933
8046,南亞電路,3250000,4.518
3189,景碩科技,4100000,4.09
2345,智邦科技,1450000,3.901
3081,聯亞光電,900000,3.615
5274,信驊科技,140500,3.228
6274,台燿科技,1800000,3.116
6223,旺矽科技,380000,2.468
3653,健策精密,340000,2.458
3026,禾伸堂企,2700000,2.217
7769,鴻勁精密,280000,2.116
8299,群聯電子,780000,2.008
3008,大立光電,1000,0.009
3711,日月光投,9000,0.007
2382,廣達電腦,9000,0.004
2317,鴻海精密,9000,0.003
2603,長榮海運,9000,0.003
3665,貿聯-KY,1000,0.003
2360,致茂電子,1000,0.003
2308,台達電子,1000,0.002
3231,緯創資通,9000,0.002
5347,世界先進,9000,0.002
2881,富邦金融,9000,0.002
2303,聯華電子,9000,0.001
2882,國泰金融,9000,0.001
2357,華碩電腦,1000,0.001
2379,瑞昱半導,1000,0.001
2885,元大金融,9360,0.001
2891,中國信託,9000,0.001
3044,健鼎科技,1000,0.001
2884,玉山金融,9000,0.001
2886,兆豐金融,9000,0.001
2880,華南金融,9090,0.001
2883,凱基金融,9000,0.0
2887,台新新光,9000,0.0
2890,永豐金融,9000,0.0
2449,京元電子,1450,0.0
2313,華通電腦,1253,0.0
2912,統一超商,1000,0.0
3036,文曄科技,1000,0.0
2412,中華電信,1000,0.0
1216,統一企業,1000,0.0
